Date,EPU_US,EPU_UK,EPU_Europe,EPU_Germany,EPU_China,EPU_Japan,EPU_Australia,EPU_Global,Sentiment_US,Sentiment_UK,Sentiment_Europe,Sentiment_Germany,Sentiment_Japan,Sentiment_Australia,Sentiment_Global,Sentiment_EURUSD,Sentiment_GBPUSD,Sentiment_USDJPY,Sentiment_AUDUSD,Sentiment_EURGBP,Sentiment_Crypto
2020-01-01,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-02,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-03,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-04,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-05,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-06,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-07,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-08,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-09,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-10,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-11,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-12,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-13,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-14,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-15,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
2020-01-16,131.39109,390.30472,199.22176,131.50761,,107.70472135129053,100.9952993363139,199.42663643617422,0.15005824751415778,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.0068371997905734005,-0.0556068791243694,0.02531674057103818,0.01229268136446543,0.0624440789149428,0.1767115770826193
