Date,EPU_US,EPU_UK,EPU_Europe,EPU_Germany,EPU_China,VIX,EPU_Japan,EPU_Australia,EPU_Global,Sentiment_US,Sentiment_UK,Sentiment_Europe,Sentiment_Germany,Sentiment_Japan,Sentiment_Australia,Sentiment_Global,Sentiment_VIX,Sentiment_US_Combined,Sentiment_EURUSD,Sentiment_GBPUSD,Sentiment_USDJPY,Sentiment_AUDUSD,Sentiment_EURGBP,Sentiment_Crypto
2020-01-01,186.06,390.30472,199.22176,131.50761,,12.47,107.70472135129053,100.9952993363139,199.42663643617422,0.12921772005602405,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.19655513200621205,0.16288642603111805,0.017257463519640262,-0.04518661539530254,0.014896476841971318,0.02271294509353229,0.0624440789149428,0.1767115770826193
2020-01-02,139.13,390.30472,199.22176,131.50761,,12.47,107.70472135129053,100.9952993363139,199.42663643617422,0.147603796315341,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.19655513200621205,0.17207946416077652,0.008064425389981783,-0.05437965352496102,0.024089514971629797,0.013519906963873812,0.0624440789149428,0.1767115770826193
2020-01-03,108.1,390.30472,199.22176,131.50761,,14.02,107.70472135129053,100.9952993363139,199.42663643617422,0.15976062449191472,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.1878017789072427,0.17378120169957872,0.001986011301694929,-0.06045806761324787,0.03016792905991665,0.007441492875586958,0.0624440789149428,0.1767115770826193
2020-01-04,212.82,390.30472,199.22176,131.50761,,14.02,107.70472135129053,100.9952993363139,199.42663643617422,0.11873377799978453,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.1878017789072427,0.1532677784535136,0.022499434547760024,-0.03994464436718278,0.009654505813851556,0.027954916121652053,0.0624440789149428,0.1767115770826193
2020-01-05,173.76,390.30472,199.22176,131.50761,,14.02,107.70472135129053,100.9952993363139,199.42663643617422,0.13403657234644806,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.1878017789072427,0.16091917562684538,0.01484803737442826,-0.04759604154051454,0.01730590298718332,0.02030351894832029,0.0624440789149428,0.1767115770826193
2020-01-06,147.96,390.30472,199.22176,131.50761,,13.85,107.70472135129053,100.9952993363139,199.42663643617422,0.14414440885806915,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.18876182408583933,0.16645311647195424,0.009794119118617717,-0.052649959796325085,0.022359821242993863,0.015249600692509746,0.0624440789149428,0.1767115770826193
2020-01-07,103.98,390.30472,199.22176,131.50761,,13.79,107.70472135129053,100.9952993363139,199.42663643617422,0.16137474412090227,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.18910066356063815,0.1752377038407702,0.001178951487201152,-0.06126512742774165,0.030974988874410428,0.006634433061093181,0.0624440789149428,0.1767115770826193
2020-01-08,91.15,390.30472,199.22176,131.50761,,13.45,107.70472135129053,100.9952993363139,199.42663643617422,0.16640123801408438,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.19102075391783144,0.1787109959659579,-0.0013342954593899004,-0.0637783743743327,0.03348823582100148,0.004121186114502129,0.0624440789149428,0.1767115770826193
2020-01-09,71.92,390.30472,199.22176,131.50761,,12.54,107.70472135129053,100.9952993363139,199.42663643617422,0.17393510220472286,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.19615981928561343,0.18504746074516815,-0.00510122755470914,-0.06754530646965194,0.03725516791632072,0.0003542540191828897,0.0624440789149428,0.1767115770826193
2020-01-10,74.58,390.30472,199.22176,131.50761,,12.56,107.70472135129053,100.9952993363139,199.42663643617422,0.17289297642484258,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.19604687279401384,0.1844699246094282,-0.004580164664769001,-0.0670242435797118,0.03673410502638058,0.0008753169091230278,0.0624440789149428,0.1767115770826193
2020-01-11,127.36,390.30472,199.22176,131.50761,,12.56,107.70472135129053,100.9952993363139,199.42663643617422,0.1522150070030069,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.19604687279401384,0.17413093989851036,0.005758820046148833,-0.05668525886879397,0.026395120315462747,0.011214301620040862,0.0624440789149428,0.1767115770826193
2020-01-12,159.24,390.30472,199.22176,131.50761,,12.56,107.70472135129053,100.9952993363139,199.42663643617422,0.13972516870880222,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.19604687279401384,0.16788602075140802,0.012003739193251178,-0.050440339721691624,0.0201502011683604,0.017459220767143208,0.0624440789149428,0.1767115770826193
2020-01-13,124.82,390.30472,199.22176,131.50761,,12.32,107.70472135129053,100.9952993363139,199.42663643617422,0.1532101195898099,0.038844489265418974,0.16373264709530458,0.2,0.09942476637208142,0.17464361024308864,0.1767115770826193,0.19740223069320909,0.17530617514150948,0.005261263752747339,-0.05718281516219546,0.02689267660886424,0.010716745326639368,0.0624440789149428,0.1767115770826193
